Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A178V7F9	Q38942	GSL10	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
A0A178VL84	O22224	PUM5	NUP93A		T32G6.14		LOCUS:2062693	21189294:0004:HT
A0A178VL84	Q9C829	PUM5	NUP50A		F19K6.4		LOCUS:2018204	21189294:0004:HT
A0A178W169	B4F7P5	A0A178W169	B4F7P5	F23A5.7|F23A5_7				20706207:0004:HT
A0A178W169	Q8GYJ3	A0A178W169	KRP4	F23A5.7|F23A5_7	F24L7.15		LOCUS:2046427	20706207:0676:HT
A0A1I9LQ79	Q9SJR5	ATM	GRF3		F1O11.3		LOCUS:2044873	21094157:0004:HT
A0A1I9LR82	O22224	A0A1I9LR82	NUP93A	F13E7.24|F13E7_24	T32G6.14		LOCUS:2062693	21189294:0004:HT
A0A1I9LRM4	Q9C829	UNE6	NUP50A	T21P5.24|T21P5_24	F19K6.4		LOCUS:2018204	21189294:0004:HT
A0A1I9LRN6	Q24JJ9	VRN5	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
A0A1I9LT07	F4JUQ2	PMH1	F4JUQ2		DL3195C		LOCUS:2129610	20706207:0004:HT
A0A1I9LT07	O81001	PMH1	GRF1		T20K9.5		LOCUS:2059206	21094157:0004:HT
A0A1I9LT07	P42752	PMH1	CYCD2-1		F14M13.11			20706207:0004:HT
A0A1I9LT07	Q2V419	PMH1	CDKB1-2		T6A23.18		LOCUS:2064087	20706207:0004:HT
A0A1I9LT07	Q8LG64	PMH1	CDKB2-2		F9H16.8		LOCUS:2037410	20706207:0004:HT
A0A1I9LT07	Q8LSZ4	PMH1	E2FE		T24C20.40		LOCUS:2100444	20706207:0004:HT
A0A1I9LT07	Q9LFQ9	PMH1	E2FD		F2G14.80		LOCUS:2147865	20706207:0004:HT
A0A1I9LT07	Q9LPP4	PMH1	SMR1		F13M14.31|F18K10.10		LOCUS:505006334	20706207:0004:HT
A0A1I9LT07	Q9M2R1	PMH1	GIG1		T10K17.70		LOCUS:2095823	20706207:0004:HT
A0A1I9LT07	Q9SJJ5	PMH1	CKS2		T1E2.11		LOCUS:2057825	20706207:0004:HT
A0A1P8APX1	Q9C829	A0A1P8APX1	NUP50A	T32E8.13|T32E8_13	F19K6.4		LOCUS:2018204	21189294:0004:HT
A0A1P8ATL2	O22224	CRB	NUP93A		T32G6.14		LOCUS:2062693	21189294:0004:HT
A0A1P8ATL2	Q24JJ9	CRB	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
A0A1P8ATL2	Q38942	CRB	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
A0A1P8ATL2	Q9CAF4	CRB	NUP1		F13M14.6|F18K10.27		LOCUS:2075785	21189294:0004:HT
